LogType,Timestamp,Key,Value
INFO,2025-11-01T11:22:37.051,InputGrab,GameObject
INFO,2025-11-01T11:22:37.399,InputGrabBreak,GameObject
INFO,2025-11-01T11:22:44.342,StageBegin,정전
INFO,2025-11-01T11:22:44.344,InputGrab,root
INFO,2025-11-01T11:22:46.738,CameraRotate,"(-66.25,4.00)"
INFO,2025-11-01T11:22:46.887,CameraZoom,1.000
INFO,2025-11-01T11:22:46.916,CameraZoom,1.000
INFO,2025-11-01T11:22:46.935,CameraZoom,1.000
INFO,2025-11-01T11:22:46.973,CameraZoom,1.000
INFO,2025-11-01T11:22:47.022,CameraZoom,1.000
INFO,2025-11-01T11:22:47.538,CameraRotate,"(23.75,-2.50)"
INFO,2025-11-01T11:22:47.719,CameraZoom,-1.000
INFO,2025-11-01T11:22:47.735,CameraZoom,-1.000
INFO,2025-11-01T11:22:47.751,CameraZoom,-1.000
INFO,2025-11-01T11:22:47.766,CameraZoom,-1.000
INFO,2025-11-01T11:22:47.790,CameraZoom,-1.000
INFO,2025-11-01T11:22:48.115,CameraZoom,1.000
INFO,2025-11-01T11:22:48.135,CameraZoom,1.000
INFO,2025-11-01T11:22:48.148,CameraZoom,1.000
INFO,2025-11-01T11:22:48.164,CameraZoom,1.000
INFO,2025-11-01T11:22:48.178,CameraZoom,1.000
INFO,2025-11-01T11:22:48.202,CameraZoom,1.000
INFO,2025-11-01T11:22:48.649,CameraRotate,"(-32.75,34.25)"
INFO,2025-11-01T11:22:49.648,CameraRotate,"(-33.50,30.75)"
INFO,2025-11-01T11:22:50.639,CameraRotate,"(-50.00,9.50)"
INFO,2025-11-01T11:22:50.821,InputGrab,Center (3)
INFO,2025-11-01T11:22:51.096,InputGrabBreak,Center (3)
INFO,2025-11-01T11:22:52.077,CameraRotate,"(38.00,-80.50)"
INFO,2025-11-01T11:22:52.347,CameraRotate,"(18.50,37.75)"
INFO,2025-11-01T11:22:53.207,InputGrab,Center (2)
INFO,2025-11-01T11:22:53.415,InputGrabBreak,Center (2)
INFO,2025-11-01T11:22:54.212,InputGrab,Center (2)
INFO,2025-11-01T11:22:54.556,InputGrabBreak,Center (2)
INFO,2025-11-01T11:22:55.141,CameraRotate,"(52.25,-29.75)"
INFO,2025-11-01T11:22:55.499,CameraRotate,"(40.50,25.25)"
INFO,2025-11-01T11:22:56.437,CameraRotate,"(49.50,-0.50)"
INFO,2025-11-01T11:22:56.765,CameraRotate,"(-13.75,16.75)"
INFO,2025-11-01T11:22:57.013,InputGrab,Center (1)
INFO,2025-11-01T11:22:57.386,InputGrabBreak,Center (1)
INFO,2025-11-01T11:22:57.936,CameraRotate,"(13.75,-42.75)"
INFO,2025-11-01T11:22:58.211,InputGrab,Center (1)
INFO,2025-11-01T11:22:58.423,InputGrabBreak,Center (1)
INFO,2025-11-01T11:22:59.174,CameraRotate,"(-56.75,3.00)"
INFO,2025-11-01T11:22:59.444,CameraRotate,"(0.00,2.00)"
INFO,2025-11-01T11:22:59.724,CameraRotate,"(-9.25,-23.00)"
INFO,2025-11-01T11:23:00.190,CameraRotate,"(-0.25,0.25)"
INFO,2025-11-01T11:23:00.496,CameraRotate,"(12.75,8.75)"
INFO,2025-11-01T11:23:00.775,InputGrab,Center (1)
INFO,2025-11-01T11:23:00.897,InputGrabBreak,Center (1)
INFO,2025-11-01T11:23:01.598,CameraRotate,"(-53.00,12.50)"
INFO,2025-11-01T11:23:01.812,InputGrab,Center (1)
INFO,2025-11-01T11:23:02.377,InputGrabBreak,Center (1)
INFO,2025-11-01T11:23:04.655,CameraRotate,"(101.75,0.50)"
INFO,2025-11-01T11:23:05.144,InputGrab,Center (3)
INFO,2025-11-01T11:23:05.546,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:06.150,InputGrab,Center (1)
INFO,2025-11-01T11:23:06.538,CameraRotate,"(-6.50,-3.50)"
INFO,2025-11-01T11:23:07.884,InputGrabBreak,Center (1)
INFO,2025-11-01T11:23:09.175,CameraRotate,"(42.25,-6.50)"
INFO,2025-11-01T11:23:09.797,InputGrab,Center (3)
INFO,2025-11-01T11:23:10.498,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:11.112,InputGrab,Center (3)
INFO,2025-11-01T11:23:11.329,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:11.773,CameraRotate,"(-75.00,11.25)"
INFO,2025-11-01T11:23:12.344,InputGrab,Center (3)
INFO,2025-11-01T11:23:12.541,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:12.890,InputGrab,Center (3)
INFO,2025-11-01T11:23:13.054,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:13.374,InputGrab,Center (3)
INFO,2025-11-01T11:23:13.551,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:13.767,InputGrab,Center (3)
INFO,2025-11-01T11:23:13.912,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:14.152,InputGrab,Center (2)
INFO,2025-11-01T11:23:14.309,InputGrabBreak,Center (2)
INFO,2025-11-01T11:23:14.517,InputGrab,Center (3)
INFO,2025-11-01T11:23:14.656,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:14.995,InputGrab,Center (3)
INFO,2025-11-01T11:23:15.130,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:15.398,InputGrab,Center (3)
INFO,2025-11-01T11:23:15.543,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:16.037,CameraRotate,"(-72.25,8.75)"
INFO,2025-11-01T11:23:16.732,InputGrab,Center (3)
INFO,2025-11-01T11:23:16.906,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:17.693,InputGrab,Center (3)
INFO,2025-11-01T11:23:17.972,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:18.458,InputGrab,Center (3)
INFO,2025-11-01T11:23:18.603,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:18.995,InputGrab,Center (3)
INFO,2025-11-01T11:23:19.139,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:19.460,InputGrab,Center (3)
INFO,2025-11-01T11:23:19.594,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:20.176,InputGrab,Center (1)
INFO,2025-11-01T11:23:20.461,InputGrabBreak,Center (1)
INFO,2025-11-01T11:23:21.019,InputGrab,Center (3)
INFO,2025-11-01T11:23:21.191,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:21.405,InputGrab,Center (3)
INFO,2025-11-01T11:23:21.574,InputGrabBreak,Center (3)
INFO,2025-11-01T11:23:21.787,InputGrab,Center (1)
INFO,2025-11-01T11:23:22.557,InputGrabBreak,Center (1)
INFO,2025-11-01T11:23:22.808,InputGrab,Center (3)
INFO,2025-11-01T11:23:22.946,InputGrabBreak,Center (3)
