LogType,Timestamp,Key,Value
INFO,2025-11-01T00:25:41.366,InputPushPull,Center (3)
INFO,2025-11-01T00:25:41.384,InputPushPull,Center (3)
INFO,2025-11-01T00:25:41.395,InputPushPull,Center (3)
INFO,2025-11-01T00:25:41.657,InputGrabBreak,Center (3)
INFO,2025-11-01T00:25:41.703,CameraZoom,1.000
INFO,2025-11-01T00:25:41.717,CameraZoom,1.000
INFO,2025-11-01T00:25:41.729,CameraZoom,1.000
INFO,2025-11-01T00:25:41.739,CameraZoom,1.000
INFO,2025-11-01T00:25:41.751,CameraZoom,1.000
INFO,2025-11-01T00:25:41.762,CameraZoom,1.000
INFO,2025-11-01T00:25:42.524,InputGrab,Center (3)
INFO,2025-11-01T00:25:42.621,InputPushPull,Center (3)
INFO,2025-11-01T00:25:42.677,InputPushPull,Center (3)
INFO,2025-11-01T00:25:42.711,InputPushPull,Center (3)
INFO,2025-11-01T00:25:42.726,InputPushPull,Center (3)
INFO,2025-11-01T00:25:42.744,InputPushPull,Center (3)
INFO,2025-11-01T00:25:42.770,InputPushPull,Center (3)
INFO,2025-11-01T00:25:42.787,InputGrabBreak,Center (3)
INFO,2025-11-01T00:25:43.166,CameraZoom,1.000
INFO,2025-11-01T00:25:43.179,CameraZoom,1.000
INFO,2025-11-01T00:25:43.194,CameraZoom,1.000
INFO,2025-11-01T00:25:43.205,CameraZoom,1.000
INFO,2025-11-01T00:25:43.219,CameraZoom,1.000
INFO,2025-11-01T00:25:43.265,CameraZoom,1.000
INFO,2025-11-01T00:25:43.598,InputGrab,Center (3)
INFO,2025-11-01T00:25:43.895,InputPushPull,Center (3)
INFO,2025-11-01T00:25:43.923,InputPushPull,Center (3)
INFO,2025-11-01T00:25:43.963,InputPushPull,Center (3)
INFO,2025-11-01T00:25:44.010,InputPushPull,Center (3)
INFO,2025-11-01T00:25:44.297,InputGrabBreak,Center (3)
INFO,2025-11-01T00:25:44.911,InputGrab,Center (3)
INFO,2025-11-01T00:25:44.966,InputPushPull,Center (3)
INFO,2025-11-01T00:25:44.972,InputPushPull,Center (3)
INFO,2025-11-01T00:25:44.999,InputPushPull,Center (3)
INFO,2025-11-01T00:25:45.017,InputPushPull,Center (3)
INFO,2025-11-01T00:25:45.042,InputPushPull,Center (3)
INFO,2025-11-01T00:25:45.087,InputGrabBreak,Center (3)
INFO,2025-11-01T00:25:45.451,CameraZoom,1.000
INFO,2025-11-01T00:25:45.470,CameraZoom,1.000
INFO,2025-11-01T00:25:46.490,CameraRotate,"(0.00,49.62)"
INFO,2025-11-01T00:25:46.681,InputGrab,Center (3)
INFO,2025-11-01T00:25:46.883,InputPushPull,Center (3)
INFO,2025-11-01T00:25:46.938,InputPushPull,Center (3)
INFO,2025-11-01T00:25:47.002,InputPushPull,Center (3)
INFO,2025-11-01T00:25:47.065,InputPushPull,Center (3)
INFO,2025-11-01T00:25:47.785,InputGrabBreak,Center (3)
INFO,2025-11-01T00:25:49.002,StageRetry,정전
INFO,2025-11-01T00:25:49.372,CameraRotate,"(0.00,7.55)"
INFO,2025-11-01T00:25:49.801,CameraRotate,"(0.00,-24.18)"
INFO,2025-11-01T00:25:49.974,InputGrab,Center (3)
INFO,2025-11-01T00:25:50.116,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.162,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.233,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.483,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.505,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.526,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.561,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.840,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.858,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.869,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.883,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.889,InputPushPull,Center (3)
INFO,2025-11-01T00:25:50.922,InputPushPull,Center (3)
INFO,2025-11-01T00:25:51.190,InputPushPull,Center (3)
INFO,2025-11-01T00:25:51.203,InputPushPull,Center (3)
INFO,2025-11-01T00:25:51.210,InputPushPull,Center (3)
INFO,2025-11-01T00:25:51.217,InputPushPull,Center (3)
INFO,2025-11-01T00:25:51.232,InputPushPull,Center (3)
INFO,2025-11-01T00:25:51.243,InputPushPull,Center (3)
INFO,2025-11-01T00:25:51.536,CameraRotate,"(-11.47,0.00)"
INFO,2025-11-01T00:25:51.579,InputGrabBreak,Center (3)
INFO,2025-11-01T00:25:52.414,CameraRotate,"(0.00,-3.36)"
INFO,2025-11-01T00:25:52.923,CameraRotate,"(0.00,33.14)"
INFO,2025-11-01T00:25:53.146,CameraRotate,"(0.00,-11.37)"
INFO,2025-11-01T00:25:53.335,CameraZoom,1.000
INFO,2025-11-01T00:25:53.355,CameraZoom,1.000
INFO,2025-11-01T00:25:53.373,CameraZoom,1.000
INFO,2025-11-01T00:25:53.381,CameraZoom,1.000
INFO,2025-11-01T00:25:53.392,CameraZoom,1.000
INFO,2025-11-01T00:25:53.401,CameraZoom,1.000
INFO,2025-11-01T00:25:53.425,CameraZoom,1.000
INFO,2025-11-01T00:25:53.469,CameraZoom,1.000
INFO,2025-11-01T00:25:54.053,CameraRotate,"(0.00,15.20)"
INFO,2025-11-01T00:25:54.356,CameraRotate,"(0.00,17.83)"
INFO,2025-11-01T00:25:54.972,InputGrab,Center (3)
INFO,2025-11-01T00:25:55.179,InputPushPull,Center (3)
INFO,2025-11-01T00:25:55.230,InputPushPull,Center (3)
INFO,2025-11-01T00:25:55.266,InputPushPull,Center (3)
INFO,2025-11-01T00:25:56.129,InputGrabBreak,Center (3)
INFO,2025-11-01T00:25:56.443,InputGrab,Center (1)
INFO,2025-11-01T00:25:58.263,InputGrabBreak,Center (1)
INFO,2025-11-01T00:25:58.737,InputGrab,Center (1)
INFO,2025-11-01T00:25:59.304,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:00.125,InputGrab,Center (1)
INFO,2025-11-01T00:26:00.434,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:01.015,InputGrab,Center (1)
INFO,2025-11-01T00:26:01.276,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:01.755,InputGrab,Center (1)
INFO,2025-11-01T00:26:03.143,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:04.740,InputGrab,Center (1)
INFO,2025-11-01T00:26:04.888,InputPushPull,Center (1)
INFO,2025-11-01T00:26:04.937,InputPushPull,Center (1)
INFO,2025-11-01T00:26:05.814,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:06.468,InputGrab,Center (1)
INFO,2025-11-01T00:26:06.994,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:07.269,InputGrab,Center (3)
INFO,2025-11-01T00:26:07.636,InputGrabBreak,Center (3)
INFO,2025-11-01T00:26:07.919,InputGrab,Center (3)
INFO,2025-11-01T00:26:08.150,InputGrabBreak,Center (3)
INFO,2025-11-01T00:26:08.224,StageRetry,정전
INFO,2025-11-01T00:26:09.030,CameraZoom,1.000
INFO,2025-11-01T00:26:09.063,CameraZoom,1.000
INFO,2025-11-01T00:26:09.092,CameraZoom,1.000
INFO,2025-11-01T00:26:09.405,CameraRotate,"(31.87,-20.00)"
INFO,2025-11-01T00:26:10.424,CameraRotate,"(39.40,8.98)"
INFO,2025-11-01T00:26:11.006,InputGrab,Center (1)
INFO,2025-11-01T00:26:11.772,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:12.504,InputGrab,Center (1)
INFO,2025-11-01T00:26:13.025,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:13.576,InputGrab,Center (1)
INFO,2025-11-01T00:26:13.765,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:14.310,InputGrab,Center (1)
INFO,2025-11-01T00:26:15.006,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:15.518,CameraRotate,"(0.00,-8.98)"
INFO,2025-11-01T00:26:16.330,CameraRotate,"(22.88,53.44)"
INFO,2025-11-01T00:26:16.743,InputGrab,Center (2)
INFO,2025-11-01T00:26:18.877,InputGrabBreak,Center (2)
INFO,2025-11-01T00:26:19.365,InputGrab,Center (2)
INFO,2025-11-01T00:26:19.852,InputGrabBreak,Center (2)
INFO,2025-11-01T00:26:22.256,CameraRotate,"(85.28,0.00)"
INFO,2025-11-01T00:26:22.845,CameraRotate,"(0.00,-19.04)"
INFO,2025-11-01T00:26:23.096,InputGrab,Center (1)
INFO,2025-11-01T00:26:24.398,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:25.090,InputGrab,Center (1)
INFO,2025-11-01T00:26:25.415,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:26.523,CameraRotate,"(53.44,-25.44)"
INFO,2025-11-01T00:26:27.074,CameraZoom,1.000
INFO,2025-11-01T00:26:27.097,CameraZoom,1.000
INFO,2025-11-01T00:26:27.112,CameraZoom,1.000
INFO,2025-11-01T00:26:27.135,CameraZoom,1.000
INFO,2025-11-01T00:26:27.165,CameraZoom,1.000
INFO,2025-11-01T00:26:27.287,CameraRotate,"(0.00,56.01)"
INFO,2025-11-01T00:26:27.686,CameraRotate,"(0.00,-11.42)"
INFO,2025-11-01T00:26:27.982,InputGrab,Center (2)
INFO,2025-11-01T00:26:29.155,InputGrabBreak,Center (2)
INFO,2025-11-01T00:26:29.947,CameraRotate,"(25.32,0.00)"
INFO,2025-11-01T00:26:30.265,InputGrab,Center (3)
INFO,2025-11-01T00:26:31.241,InputGrabBreak,Center (3)
INFO,2025-11-01T00:26:32.234,InputGrab,Center (3)
INFO,2025-11-01T00:26:32.703,InputGrabBreak,Center (3)
INFO,2025-11-01T00:26:33.085,InputGrab,Center (1)
INFO,2025-11-01T00:26:33.662,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:33.813,InputGrab,Center (1)
INFO,2025-11-01T00:26:36.137,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:36.972,InputGrab,Center (1)
INFO,2025-11-01T00:26:37.000,CameraRotate,"(-33.11,0.00)"
INFO,2025-11-01T00:26:37.666,InputGrabBreak,Center (1)
INFO,2025-11-01T00:26:38.271,InputGrab,Center (1)
